"","C","D"
"Esperança@PB",183.723772555137,-84.9417942853686
"Espigão D'Oeste@RO",265.817136208697,-45.2954272243186
"Esplanada@BA",-82.173795360961,61.5320282484421
"Estância Velha@RS",-235.58899984045,122.148529282369
"Estância@SE",-1418.57687914512,527.933518835063
"Esteio@RS",-623.600808617282,319.905541908054
"Euclides da Cunha@BA",128.366909093443,-46.2116213914516
"Extremoz@RN",1058.84963781956,-260.133522053367
"Exu@PE",-1834.94468052716,915.103283570291
"Farias Brito@CE",-146.199856129493,81.1891600805694
"Fátima do Sul@MS",-428.847772071537,159.741723063563
"Fazenda Rio Grande@PR",-966.828941346977,343.748713592762
"Feira de Santana@BA",-257.623162384854,149.572069887089
"Fernandópolis@SP",420.329567532055,-180.837787565329
"Ferraz de Vasconcelos@SP",-751.952619720691,270.166523460722
"Floresta@PE",-1631.94423203796,677.000744421225
"Floriano@PI",-171.554603208151,93.1029686037658
"Florianópolis@SC",136.84571330906,-25.2891614239761
"Formiga@MG",-150.882425414822,122.229100451124
"Formosa@GO",-357.124958542675,136.388498896136
"Fortaleza@CE",-143.782893728941,130.32688638566
"Foz do Iguaçu@PR",-441.734241771249,261.639401650715
"Fraiburgo@SC",320.116210773453,-41.2087562546901
"Franca@SP",-530.300516376966,275.824471169531
"Francisco Beltrão@PR",309.557173412189,-78.7459389910294
"Francisco Morato@SP",-388.092183138251,126.256476153619
"Francisco Sá@MG",-220.862403835656,53.7461726995223
"Franco da Rocha@SP",-246.21123552112,80.4551920545104
"Frederico Westphalen@RS",-881.320166656564,511.699380978018
"Frutal@MG",-566.450127486294,261.149150292796
"Gandu@BA",205.065450434398,-92.8904248363758
"Garanhuns@PE",-860.3743183811,406.409236989206
"Glória do Goitá@PE",-358.607634942244,176.750140654792
"Goiana@PE",-441.773852359039,185.912296829205
"Goianésia do Pará@PA",1398.96307981966,-560.286754274874
"Goianésia@GO",-352.794967926698,146.62468855535
"Goiânia@GO",363.06465766539,-186.655068197792
"Goianinha@RN",1022.43459506629,-280.663784719807
"Goianira@GO",-916.756278159315,263.612625452505
"Goiás@GO",1881.37353928925,-661.447089013665
"Governador Valadares@MG",698.251951989233,-288.831368303013
"Grajaú@MA",1386.92813549309,-733.270156581846
"Granja@CE",1186.11071925826,-436.646055635466
"Gravatá@PE",1282.5154197289,-492.894153152419
"Gravataí@RS",30.4765158127424,29.7215134279685
"Guaíba@RS",744.039270241919,-221.805993321841
"Guaíra@PR",152.05948548566,-39.7512596093364
"Guaíra@SP",1932.61344099364,-850.320299561969
"Guajará-Mirim@RO",337.475078237663,-124.890828581269
"Guanambi@BA",-15.6728239850887,43.0935918123988
"Guanhães@MG",65.6907443530109,-47.7016308916745
"Guarabira@PB",24.2007248115837,-0.156775267575446
"Guaraí@TO",-680.984250418815,268.083494130513
"Guarapari@ES",-1026.75172684159,359.791583719572
"Guarapuava@PR",-556.585678574363,324.559138215376
"Guararapes@SP",-1284.12447667779,597.108030145921
"Guaratinguetá@SP",-514.075062804529,304.232636936174
"Guarujá@SP",470.643942399731,-182.511354644581
"Guarulhos@SP",-365.537122629484,178.724992332166
"Guaxupé@MG",109.330225636423,-8.36688119563408
"Gurupi@TO",1763.47536696609,-646.009550692494
"Horizonte@CE",-518.723396601115,210.964703382577
"Hortolândia@SP",1056.69051131184,-305.050476047371
"Humaitá@AM",-1538.26627954692,685.965030957127
"Ibicaraí@BA",-164.468422429276,73.2206464784765
"Ibiporã@PR",102.879743100075,-60.3415444672849
"Ibirité@MG",-1452.29305007586,815.184123434702
"Ibititá@BA",2864.05467190435,-948.915525848436
"Ibiúna@SP",97.2847481874276,-15.9453556790295
"Icapuí@CE",-149.746652128606,-92.0521455623598
"Igaci@AL",271.614519438022,-115.697971658244
"Igarapé-Açu@PA",596.202594337209,-270.743558964222
"Igarapé-Miri@PA",-12.7144148561683,10.7168878109389
"Igarapé@MG",222.004699798076,-71.8811821358262
"Igrejinha@RS",1301.05677802606,-468.311864817249
"Iguaba Grande@RJ",-966.098888334439,399.619873299878
"Iguape@SP",-413.905066943844,238.131637224968
"Iguatu@CE",-3768.59023751649,1364.50571699925
"Ilhéus@BA",-337.590093753789,191.86343058393
"Imperatriz@MA",313.565270730954,-109.95040555692
"Inconfidentes@MG",85.7324823112378,44.4199614597338
"Indaiatuba@SP",-165.512313207769,91.3634395775537
"Independência@CE",338.203098897784,-209.052390163871
"Ingá@PB",747.276502998794,-363.479652767678
"Inhambupe@BA",-395.895581433357,162.405929938146
"Inhumas@GO",1659.55968887331,-550.127223033661
"Ipatinga@MG",1317.76233283634,-632.379279998288
"Ipiaú@BA",31.2134624403788,-9.43058826693918
"Ipirá@BA",2864.66191200204,-1261.95075155442
"Iporá@GO",-771.535255700921,321.82987156457
"Irati@PR",-171.456982393139,101.223989424244
"Irecê@BA",804.800906802575,-359.451202708138
"Itabaiana@PB",514.094677436639,-234.765142284014
"Itabaiana@SE",-997.185198252985,477.264152427318
"Itabaianinha@SE",1925.21833372804,-791.540173212816
"Itaberaba@BA",158.317260405543,-50.9530544092335
"Itabira@MG",534.574424597157,-268.106675783845
"Itabirito@MG",-616.65187935313,378.074480808393
"Itaboraí@RJ",594.415569206444,-212.488447296983
"Itabuna@BA",-471.521089866351,197.565167960474
"Itacoatiara@AM",488.875326481543,-217.153351033918
"Itaguaí@RJ",-10.1963505737116,11.2368397032564
"Itajubá@MG",-445.920821100516,294.795314225702
"Itajuípe@BA",356.135407407834,-137.357299158334
"Itamaraju@BA",-35.39168730404,35.730835840585
"Itamarandiba@MG",145.575100959981,-27.0586153850702
"Itambé@PE",319.747790480107,-113.12930253516
"Itaobim@MG",60.2944209286081,19.5159529666834
"Itapaci@GO",729.015133671394,-199.60179774033
"Itapema@SC",-287.978741589213,113.731181931267
"Itapemirim@ES",90.3213757638466,-13.5412340282152
"Itaperuna@RJ",-528.840983474812,333.431153893731
"Itapetinga@BA",58.2247545575957,-34.4168079268647
"Itapetininga@SP",-327.077062069076,166.208422983018
"Itapeva@SP",188.290507905447,-35.2975621419906
"Itapevi@SP",151.573472652135,-27.902788096702
"Itapipoca@CE",-167.20768505602,90.0018952485939
"Itaporanga d'Ajuda@SE",75.8024691005741,-45.8664656067609
"Itaporanga@PB",-17.9623773848575,40.9806465116301
"Itapuranga@GO",-1291.46771916286,336.667777808009
"Itaquaquecetuba@SP",-1079.61208723202,296.404160401993
"Itaqui@RS",574.249608345514,-178.699918755595
"Itararé@SP",27.3885892130082,-5.90163258056885
"Itarema@CE",-130.575355145687,126.143639205398
"Itatiba@SP",492.81583726105,-206.139215539374
"Itaúna@MG",-67.5136901991279,-9.55828725186787
"Itu@SP",-952.456885094904,399.041018091988
"Ituiutaba@MG",-330.123839046418,194.434984616636
"Itumbiara@GO",-449.671422396353,198.280628126022
"Iturama@MG",1226.34533242154,-598.655455554102
"Ituverava@SP",450.199921429422,-250.198094600643
"Ivaiporã@PR",396.851561566026,-183.32028230306
"Ivinhema@MS",-277.382406055404,128.872023045008
"Jaboatão dos Guararapes@PE",-462.392510528105,233.139415731261
"Jaboticabal@SP",678.51507370141,-273.139109072772
"Jacaraú@PB",133.817816383658,-62.0650936665924
"Jacarezinho@PR",495.954385096963,-201.284086208783
"Jaciara@MT",-364.899291186742,157.576831531907
"Jacundá@PA",289.25287038351,-80.5996804203709
"Jaguaquara@BA",416.733171731824,-160.334372567867
"Jaguariaíva@PR",1992.05718300896,-1104.17726523613
"Jaguaribe@CE",468.744364728059,-136.496708588938
"Jaguariúna@SP",29.0181132775858,15.8873282853385
"Jales@SP",-86.0437526581737,34.5592522162911
"Janaúba@MG",38.8302028307767,1.52566699249292
"Jandaia do Sul@PR",580.502164367362,-212.222823683954
"Jandira@SP",-4401.31695046453,1410.62596167605
"Januária@MG",-315.271805519776,122.508919595883
"Jaraguá do Sul@SC",15.1085093842225,22.829961232817
"Jaraguá@GO",100.967034342182,-9.19804894702757
"Jardim@CE",151.78278075191,-73.6656031106388
"Jaru@RO",1024.25929939574,-363.299972523119
"Jataí@GO",-1703.33349027495,687.360494231541
"Jequié@BA",-3.72369401384062,5.76264637088011
"Jeremoabo@BA",703.042242075241,-300.540427073301
"Ji-Paraná@RO",144.421922131103,-37.7629439530208
"Joaçaba@SC",108.137494920891,-12.0008964066146
"João Câmara@RN",377.426746666399,-169.962463944809
"João Lisboa@MA",-1254.340963151,520.063633000841
"João Monlevade@MG",47.4610786100074,-33.1035304343497
"João Pessoa@PB",-145.89027870656,88.7186551373584
"João Pinheiro@MG",-482.315769779727,211.121461432193
"Joinville@SC",-343.778216890331,130.792319584092
"José Bonifácio@SP",-7332.14449374702,3513.31019722505
"José de Freitas@PI",-312.448257551223,168.16476192786
"Juazeirinho@PB",12.8587368709597,15.9216750984904
"Juazeiro@BA",88.9990200027281,-36.325549041932
"Juiz de Fora@MG",532.604266325329,-215.378992861451
"Jundiaí@SP",48.6068166293646,22.1062037347807
"Juquitiba@SP",-289.585213767188,104.508125794213
"Juruti@PA",387.546764244599,-157.180154651144
"Jussara@GO",-315.274998415485,157.620857494556
"Ladainha@MG",-281.087640667924,77.8181964968745
"Lagarto@SE",-1153.74567653511,414.63798542876
"Lages@SC",2053.00645425477,-783.963441803
"Lagoa da Prata@MG",235.409874466738,-161.000490731397
"Lagoa de Itaenga@PE",171.663186910078,-129.957411974778
"Lagoa Santa@MG",492.864215663224,-221.759291001379
"Lagoa Vermelha@RS",-5304.62147555377,2550.16280844246
"Lajeado@RS",1615.53999467071,-776.636567051659
"Lajedo@PE",-297.795841047352,191.454285641195
"Lapa@PR",474.998158729326,-245.559478714079
"Laranjal do Jari@AP",-272.834018183941,102.342510602573
"Laranjeiras do Sul@PR",-104.491093669919,91.1617590356759
"Lauro de Freitas@BA",-663.183797208873,369.801809022674
"Lavras da Mangabeira@CE",834.734878791056,-329.39431787906
"Lavras@MG",561.451091319829,-135.313340084698
"Leme@SP",-939.155022311722,497.271306444171
"Lençóis Paulista@SP",298.33308211814,-60.7352004522727
"Leopoldina@MG",1050.5683278843,-523.889619577989
"Limeira@SP",-1.41954837412027,40.3169565717747
"Limoeiro do Ajuru@PA",352.109949840765,-170.201550163721
"Limoeiro do Norte@CE",-850.203799496414,319.528983092091
"Linhares@ES",-282.280882463048,110.655693293462
"Livramento de Nossa Senhora@BA",-205.981971138059,122.082662657016
"Loanda@PR",-287.246956035793,195.732092342502
"Londrina@PR",-147.562499915565,106.988933481981
"Lontra@MG",-278.387057695704,81.3941015373308
"Lorena@SP",130.617943585506,-77.2688515716216
"Lucas do Rio Verde@MT",-1021.73516245006,416.286136185768
"Luís Eduardo Magalhães@BA",-829.172513541777,266.079354767451
"Luziânia@GO",-408.511182777488,229.224574355965
"Macaé@RJ",317.23293792761,-96.6527621129028
"Macaíba@RN",-668.767133242487,271.126553507118
"Macapá@AP",-893.658802012238,319.688603783409
"Macau@RN",1733.75084513132,-753.354963722846
"Macaúbas@BA",-364.876693916339,168.650088138932
"Maceió@AL",363.386576460663,-149.892826861927
"Machadinho D'Oeste@RO",287.965589055448,-103.816179861918
"Machado@MG",538.446998580852,-225.868676860951
"Mãe do Rio@PA",166.936851445333,-53.8920453943163
"Magé@RJ",75.2219116273378,-18.6587899851148
"Mairinque@SP",269.736642301381,-110.035156922858
"Mairiporã@SP",142.014012542628,-27.4220701392465
"Mamanguape@PB",-212.529155471037,104.808905260284
"Manacapuru@AM",-1156.1888264497,580.257601134573
"Manaus@AM",-278.923241108581,138.969617724991
"Manhuaçu@MG",-78.9679988634162,-2.77523062165006
"Marabá@PA",-108.530869612552,71.2823115777139
"Maracaju@MS",-2503.35048470306,937.30755681299
"Maracás@BA",243.048599380642,-66.1517594886685
"Maranguape@CE",-524.274844648321,193.786066568
"Marau@RS",-1495.30373206066,715.256672332083
"Maravilha@SC",-401.107502413996,204.490465693463
"Marechal Cândido Rondon@PR",102.057065254053,-18.5680377776533
"Mariana@MG",-128.374262629281,78.608323595017
"Maricá@RJ",-75.1221560002396,15.8071786428839
"Marília@SP",2428.40023205404,-977.008115123543
"Maringá@PR",541.533487209618,-259.252202444316
"Marituba@PA",-263.368390356754,117.39070811622
"Massapê@CE",-17.780053438526,25.0059415075198
"Matão@SP",-121.228484155146,100.539297560247
"Matinhos@PR",-372.535993928357,213.879029513871
"Matozinhos@MG",1477.79735505065,-401.650971798534
"Mauá@SP",-1014.74854946063,342.15540593304
"Mauriti@CE",2106.54422684533,-979.998049435703
"Medianeira@PR",59.540380928681,19.473196636134
"Mesquita@RJ",-35.2458288989704,37.7194592285652
"Milagres@CE",474.605130709445,-184.278739651399
"Mimoso do Sul@ES",-1443.53879540168,383.613820095633
"Minaçu@GO",-90.0495306600768,78.9458786547158
"Minas Novas@MG",343.202714921737,-120.656259186692
"Mineiros@GO",-372.24722351768,149.608862860319
"Miracema do Tocantins@TO",-2431.24592387706,987.378336789176
"Mirandiba@PE",-977.005147040398,453.921660651935
"Mocajuba@PA",-56.2713174873418,30.9023763996931
"Mococa@SP",-150.072911949363,132.825142034983
"Mogi das Cruzes@SP",-282.273249197634,181.442312822094
"Mogi Guaçu@SP",-71.8056191572354,90.8405197350589
