"","V1","V2","V3","V4"
"Alvorada do Sul@PR",498.767502968061,101.703440179301,539.734769086082,94.8170565873172
"Alvorada@RS",505.854125691784,93.5859637150614,482.003888437679,76.026086075346
"Amambai@MS",488.259679081051,102.690941825181,371.366299644969,97.1241320947083
"Amapá@AP",440.65639519925,70.4077426206605,421.4,7.84538324549998e-24
"Amarante do Maranhão@MA",471.816208331923,97.8814156113689,468.064475798764,25.4035107783745
"Amarante@PI",455.339913823629,79.64086523863,434.775028200388,73.4622690871134
"Amargosa@BA",468.640264766795,102.95721443209,525.251084178265,113.36905775989
"Amélia Rodrigues@BA",475.059369443759,91.4096305835769,497.3,5.6859273701393e-14
"Americana@SP",566.449709560651,115.150561773962,495.450237367095,108.76344662131
"Amontada@CE",478.995124531951,100.746810675097,518.855178674988,104.778154462773
"Amparo@SP",554.555325869466,115.714069833273,482.743314521625,66.5304816777368
"Ampére@PR",521.54223981431,97.9457160720181,479.031216019073,63.7484560175401
"Anagé@BA",468.221232590985,86.5790392421481,493.444314617152,82.184666766975
"Anajás@PA",452.34159860626,72.0119498539388,341.285990984466,46.1949345458486
"Anajatuba@MA",467.215925328626,83.9978205925649,378.7,1.01082414016338e-15
"Anamã@AM",450.81465431107,77.1551276102593,518.855178674988,104.778154462773
"Ananás@TO",467.954027355488,82.3946154577016,419.872444856911,151.883800055924
"Ananindeua@PA",488.353474502596,100.506281821159,464.292114690626,98.4786884613905
"Anápolis@GO",519.772236969943,114.577560067386,552.941468490555,165.311729796528
"Anastácio@MS",474.099172955438,77.3336646976034,469.130140031275,36.1083460552903
"Anchieta@ES",521.715086576956,102.850113454524,417.38115010758,104.111783717054
"Andradas@MG",543.088136650221,109.559786380561,550.197245726357,100.424907211146
"Andradina@SP",519.697879395885,104.287271602,576.060225086322,61.197982198529
"Andrelândia@MG",508.924259925507,97.0369059713994,364.02886336096,215.475193099897
"Angicos@RN",463.464017480776,99.994558207582,496.515895066037,59.701260374595
"Angra dos Reis@RJ",511.007668842405,105.649154440994,578.707941638365,129.371178667114
"Anori@AM",456.553335860547,67.8011131204683,518.855178674988,104.778154462773
"Aparecida de Goiânia@GO",497.940393441219,99.9236479157989,461.670590577869,99.7758744611015
"Aparecida do Taboado@MS",491.863345813768,94.5263016800009,465.3,1.11738118093532e-15
"Aparecida@SP",530.512534188296,111.932979507953,494.163864807426,26.1739125246155
"Apiaí@SP",505.404998109487,100.644774916727,494.563747669354,54.6216935097875
"Apodi@RN",491.9295302821,103.275002946031,410.371614910619,64.6115903049214
"Apucarana@PR",524.690062167824,104.706715086007,506.709969170934,75.9865544794616
"Apuí@AM",477.525070771467,83.5695121609375,543.1,1.13678610459218e-13
"Aquidauana@MS",480.156287160498,94.5386754954003,446.702413356487,87.9631477645109
"Aquiraz@CE",501.493946820495,99.5029485106382,468.55479603267,93.9240800276738
"Aracaju@SE",513.692147424911,121.9053598335,471.504709253661,142.106961389207
"Aracati@CE",488.524597727842,98.4335183010132,272.840794257792,187.460509679236
"Araçatuba@SP",540.132688742165,115.377543547937,526.834280031449,146.637169743459
"Araci@BA",476.750938912935,100.36670499011,409.946436446424,18.1504724612861
"Araçoiaba da Serra@SP",519.179007646711,103.596654880934,408.850804155993,100.416910956124
"Aracoiaba@CE",473.137563202005,88.2632095377661,428.803020903843,23.4989199500356
"Aracruz@ES",529.098371594053,114.795408714232,467.308589844718,91.0698731100481
"Araçuaí@MG",500.428829106567,101.295266249301,583.806787594928,112.548742614718
"Aragarças@GO",482.304334319504,91.9603915793526,358.384736166646,144.485016129604
"Araguaína@TO",485.224036858388,98.4886414339827,387.448031123999,196.900850664782
"Araguanã@TO",447.941582661655,65.8930749501397,403,3.41129446436584e-13
"Araguari@MG",529.024801691913,110.194040614565,558.863771993773,97.9593664640336
"Araguatins@TO",471.412381580182,87.1174543694426,423.292249233923,77.1332469454081
"Araioses@MA",460.319949491428,75.5515664945244,516.7,1.64710589584141e-23
"Arame@MA",458.769076002347,70.6831152732968,424.4,4.90963525385178e-21
"Arapiraca@AL",488.300149808966,107.049031167663,412.900763114689,143.173191068492
"Arapoema@TO",454.255148571502,82.7223181899466,503.6,9.00693409523259e-28
"Arapongas@PR",519.178693626372,112.155156010494,570.306062973561,128.667920609939
"Arapoti@PR",509.733916880897,102.43041237853,518.855178674988,104.778154462773
"Araputanga@MT",480.25048776531,90.3048942584559,466.49127265594,149.610688341019
"Araranguá@SC",533.802708608008,112.375926521519,539.757810801624,154.82589264171
"Araraquara@SP",548.16185379981,113.069547865335,514.321377940085,148.043585346536
"Araras@SP",555.891064646124,110.670575297535,514.321377838027,147.904260567567
"Arari@MA",468.537398016666,75.69498373998,482.420395661521,67.0781228097318
"Araripe@CE",477.368404411564,96.0542623975132,496.6,6.27597055652881e-20
"Araripina@PE",496.886475920007,96.1865424283984,460.148431605189,102.84758510682
"Araruama@RJ",517.058241993424,112.443721572452,499.51719876805,127.856647102028
"Araruna@PB",478.807527697092,102.293128681327,383.9,1.21852670951238e-19
"Aratuba@CE",477.382621181842,93.5518247241705,405.850049893165,0.44999593343506
"Araucária@PR",522.592101725101,103.208531175337,474.225663337969,80.6844503232609
"Araxá@MG",557.520176215866,111.654477975112,449.66176651034,158.165378301115
