NO_MUNICIPIO,CO_MUNICIPIO,SG_UF,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Theobroma,1101609,RO,0.148668050216038,0.178761889053824,0.133835395373857,0.117645319614452,0.172100553776498,0.205976627296424,0.313983729421562,0.207315783288283,0.260114932469881,0.179197962249363,0.267777108836712,0.189434801085287,0.183823529411765,0.389669578427649,0.58701250919794,0.568745067087608
Urupá,1101708,RO,0.227717931859944,0.264087895401294,0.249496063437433,0.233169129720854,0.274677485647614,0.262730392428184,0.362197636263321,0.415593890696848,0.341140859440353,0.40532123870902,0.324069288519227,0.378771001578019,0.350342184505886,0.300849707912905,0.239284228048273,0.737684103605891
Vale do Paraíso,1101807,RO,0.0935991836959819,0.126549983539998,0.150654036986919,0.115518033540087,0.162791259205602,0.0788573617533587,0.13398027408338,0.115143341070196,0.222188220046083,0.267217101894521,0.234198663640142,0.203851851851852,0.196814296814297,0.224720694153009,0.38067670140229,0.331238893120081
Nova Brasilândia D'Oeste,1100148,RO,0.276235606603412,0.247525107604017,0.258754845329482,0.26769527108417,0.348375171773085,0.344821591551132,0.418588806629353,0.525503837274599,0.357273350079927,0.405234297108674,0.388829678077068,0.597483456229911,0.582779220779221,0.615040268981156,0.695299430541239,0.616691776321062
São Miguel do Guaporé,1100320,RO,0.289273576454659,0.271425313787181,0.3380246262573,0.354758054021899,0.309834729540199,0.374392762909913,0.350597402597403,0.37396640537514,0.471234021818121,0.363562269071941,0.369348517112613,0.618155358383773,0.572887782115134,0.545323704027346,0.631397459165154,0.682123477644532
Alta Floresta D'Oeste,1100015,RO,0.303530226713225,0.27111235836812,0.303298710895804,0.266671627107154,0.288672489518155,0.422928576121953,0.368561412904561,0.452384272169548,0.464248088360238,0.532901604073025,0.56740917528507,0.636297257444317,0.647538552787663,0.73462240602064,0.77182156783329,0.861412006458242
Seringueiras,1101500,RO,0.109066496163683,0.18008700870087,0.219230223505389,0.210571124122552,0.261354238197156,0.253192173895558,0.274683822294565,0.180551989730424,0.184944609367134,0.210277119173153,0.285911130178074,0.367489275801161,0.397794006547469,0.382847038019452,0.574541852402179,0.419576070054833
Alto Alegre dos Parecis,1100379,RO,0.242239789196311,0.266971020246129,0.201175983436853,0.183163235207362,0.169167291822956,0.351887503138863,0.397756874095514,0.484386275203396,0.426317226783185,0.447852265436112,0.638997078870497,0.647730888265409,0.551337943475646,0.605263157894737,0.933371136943578,1
Cacoal,1100049,RO,0.264208467646088,0.292535105473477,0.31130452166547,0.295959658669399,0.338299200667389,0.329608357009895,0.372469103909344,0.337416486533763,0.407777370530296,0.445826399086311,0.479959400266362,0.442627660390002,0.446703240033594,0.455075331155773,0.554198197281694,0.636362874864204
Espigão D'Oeste,1100098,RO,0.149997936958613,0.180659589077604,0.193021862833184,0.23860179400414,0.245247283975762,0.324879404990208,0.350715864561551,0.386131225726724,0.352611359699742,0.430352219647577,0.445606315536517,0.48408921962641,0.465207247348352,0.516974749305304,0.61998395334376,0.607110465807439
